Sector,Area,Unit_Id,Unit_Process,Output_Category,Output,Output_Amount,Output_Unit
Oil & Gas Distribution,FT Cilacap,9,Mobil Tangki,Emission,Nitrogen Oxide (NOx),8487.251292,kg
Oil & Gas Distribution,FT Cilacap,9,Mobil Tangki,Emission,Sulfur Oxide (SOx),129105.6011,kg
Oil & Gas Distribution,FT Cilacap,9,Mobil Tangki,Emission,Particulates,215.967889,kg
Oil & Gas Distribution,FT Cilacap,9,Mobil Tangki,Emission,Dinitrogen Monoxide (N2O),34.3781923,kg
Oil & Gas Distribution,FT Cilacap,10,Genset,Emission,Carbon Dioxide (CO2),3672642241,kg
Oil & Gas Distribution,FT Cilacap,10,Genset,Emission,Sulfur Oxide (SOx),129105.6011,kg
Oil & Gas Distribution,FT Cilacap,10,Genset,Emission,Particulates,215.967889,kg
Oil & Gas Distribution,FT Cilacap,10,Genset,Emission,Dinitrogen Monoxide (N2O),34.3781923,kg
Oil & Gas Distribution,FT Cilacap,10,Genset,Waste,Waste,97,kg
Oil & Gas Distribution,FT Cilacap,11,Office,Waste,Waste,1479.280938,kg
Oil & Gas Distribution,FT Cilacap,11,Office,Waste,Waste,10848.06021,kg
Oil & Gas Distribution,FT Cilacap,11,Office,Waste,Waste,12,kg
Oil & Gas Distribution,FT Cilacap,11,Office,Waste,Waste,1579.386375,kg
Oil & Gas Distribution,FT Cilacap,12,Pompa,Waste,Wastewater,652000,kg
Oil & Gas Distribution,IT Bitung,13,Genset,Emission,Carbon Dioxide (CO2),88500,kg
Oil & Gas Distribution,IT Bitung,13,Genset,Emission,Nitrogen Oxide (NOx),573,kg
Oil & Gas Distribution,IT Bitung,13,Genset,Emission,Particulate Matter (PM10),40.3,kg
Oil & Gas Distribution,IT Bitung,13,Genset,Emission,Sulfur Oxide (SOx),37.7,kg
Oil & Gas Distribution,IT Bitung,13,Genset,Waste,Waste,20,kg
Oil & Gas Distribution,IT Bitung,14,Office,Waste,Waste,3160,kg
Oil & Gas Distribution,IT Bitung,14,Office,Waste,Wastewater,1750000,liter
Oil & Gas Distribution,IT Bitung,15,Pompa,Waste,Wastewater,13800,liter
Oil & Gas Distribution,IT Bitung,16,Filling Shed Pump,Waste,Waste,15,kg
Oil & Gas Distribution,IT Bitung,16,Filling Shed Pump,Waste,Wastewater,13800,liter
Oil & Gas Distribution,FT Boyolali,17,Storage Tank,Emission,Volatile Organic Compounds (VOC),1897000,kg
Oil & Gas Distribution,FT Boyolali,18,Genset,Emission,Carbon Dioxide (CO2),30,kg
Oil & Gas Distribution,FT Boyolali,19,Office,Waste,Waste,440,kg
Oil & Gas Distribution,FT Boyolali,19,Office,Waste,Waste,5945000,kg
Oil & Gas Distribution,FT Boyolali,19,Office,Waste,Plastic,87200,kg
Oil & Gas Distribution,FT Boyolali,19,Office,Waste,Waste,1840000,kg
Oil & Gas Distribution,FT Rewulu,20,Storage Tank,Emission,Volatile Organic Compounds (VOC),1180000,kg
Oil & Gas Distribution,FT Rewulu,20,Storage Tank,Waste,Sludge,14700,kg
Oil & Gas Distribution,FT Rewulu,21,Genset,Emission,Methane (CH4),0.843,kg
Oil & Gas Distribution,FT Rewulu,21,Genset,Emission,Nitrogen Oxide (NOx),614,kg
Oil & Gas Distribution,FT Rewulu,21,Genset,Emission,Sulfur Oxide (SOx),40.8,kg
Oil & Gas Distribution,FT Rewulu,21,Genset,Emission,Particulates,43.7,kg
Oil & Gas Distribution,FT Rewulu,21,Genset,Emission,Dinitrogen Monoxide (N2O),0.169,kg
Oil & Gas Distribution,FT Rewulu,21,Genset,Waste,Oil,97,liter
Oil & Gas Distribution,FT Rewulu,21,Genset,Emission,Carbon Dioxide (CO2),22400,kg
Oil & Gas Distribution,FT Rewulu,22,Pompa,Emission,Volatile Organic Compounds (VOC),467000,kg
Oil & Gas Distribution,FT Rewulu,23,Office,Waste,Waste,1.73,kg
Oil & Gas Distribution,FT Rewulu,23,Office,Waste,Waste,10800,kg
Oil & Gas Distribution,FT Rewulu,23,Office,Waste,Plastic,1580,kg
Oil & Gas Distribution,FT Rewulu,23,Office,Waste,Lamp,12,kg
Oil & Gas Distribution,DPPU Ahmad Yani,24,Pompa,Waste,Fuel,12168000,kg
Oil & Gas Distribution,DPPU Ahmad Yani,24,Pompa,Waste,Waste,8,kg
Oil & Gas Distribution,DPPU Ahmad Yani,24,Pompa,Product,Electricity,27418,kWh
Oil & Gas Distribution,DPPU Ahmad Yani,25,Storage Tank,Waste,Fuel,12168000,kg
Oil & Gas Distribution,DPPU Ahmad Yani,26,Pompa,Waste,Fuel,12294251000,kg
Oil & Gas Distribution,DPPU Ahmad Yani,27,Filter Separator,Waste,Fuel,12294251000,kg
Oil & Gas Distribution,DPPU Ahmad Yani,27,Filter Separator,Waste,Waste,32,kg
Oil & Gas Distribution,DPPU Ahmad Yani,28,Refueller,Waste,Fuel,12294251000,kg
Oil & Gas Distribution,DPPU Ahmad Yani,28,Refueller,Waste,Wastewater,0.336,kg
Oil & Gas Distribution,DPPU Ahmad Yani,28,Refueller,Waste,Wastewater,29281,kg
Oil & Gas Distribution,DPPU Ahmad Yani,29,Use Stage,Waste,Fuel,12294251,kg
Oil & Gas Distribution,DPPU Ahmad Yani,29,Use Stage,Emission,Carbon Dioxide (CO2),3.06,kg
Oil & Gas Distribution,DPPU Ahmad Yani,29,Use Stage,Emission,Dinitrogen Monoxide (N2O),849803,kg
Oil & Gas Distribution,DPPU Ahmad Yani,29,Use Stage,Emission,Methane (CH4),212451,kg
Oil & Gas Distribution,DPPU Ahmad Yani,30,Genset,Product,Electricity,14628,kWh
Oil & Gas Distribution,DPPU Ahmad Yani,30,Genset,Emission,Carbon Dioxide (CO2),0.0000015,kg
Oil & Gas Distribution,DPPU Ahmad Yani,30,Genset,Emission,Carbon Monoxide (CO),0.000235,kg
Oil & Gas Distribution,DPPU Ahmad Yani,30,Genset,Emission,Nitrogen Oxide (NOx),0.000381,kg
Oil & Gas Distribution,DPPU Ahmad Yani,30,Genset,Emission,Sulfur Oxide (SOx),0.00000099,kg
Oil & Gas Distribution,DPPU Ahmad Yani,31,Genset,Emission,"Particulates, Unspecified",0.000022,kg
Oil & Gas Distribution,DPPU Ahmad Yani,32,Oil Catcher,Waste,Wastewater,336,liter
Oil & Gas Distribution,DPPU Ahmad Yani,32,Oil Catcher,Waste,Oil,0.0008366,liter
Oil & Gas Distribution,DPPU Ahmad Yani,32,Oil Catcher,Waste,TOC,0.035504,kg
Oil & Gas Distribution,DPPU Ahmad Yani,33,Waste Pool,Waste,Wastewater,0.121,kg
Oil & Gas Distribution,DPPU Ahmad Yani,33,Waste Pool,Waste,Ammonia,0.0005035,kg
Oil & Gas Distribution,DPPU Ahmad Yani,33,Waste Pool,Waste,BOD5,0.020649,kg
Oil & Gas Distribution,DPPU Ahmad Yani,33,Waste Pool,Waste,COD,0.005078,kg
Oil & Gas Distribution,DPPU Ahmad Yani,33,Waste Pool,Waste,Oil,0.0003013,liter
Oil & Gas Distribution,DPPU Ahmad Yani,33,Waste Pool,Waste,Waste,0.002182,kg
Oil & Gas Distribution,DPPU Ahmad Yani,34,Office,Waste,Wastewater,1001000,kg
Oil & Gas Distribution,DPPU Ahmad Yani,34,Office,Waste,Waste,2166,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,35,Pompa,Waste,Fuel,5232000,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,35,Pompa,Waste,Waste,2.3,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,35,Pompa,Product,Electricity,15847.96,kWh
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,35,Pompa,Product,Electricity,167.33,kWh
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,36,Storage Tank,Waste,Fuel,5300669.5,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,36,Storage Tank,Waste,Waste,1.5,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,36,Storage Tank,Waste,Volatile Organic Compounds (VOC),74511,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,37,Pompa,Waste,Fuel,5300669.5,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,37,Pompa,Waste,Waste,0.9,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,38,Filter Separator,Waste,Fuel,5300669.5,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,38,Filter Separator,Waste,Waste,32.4,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,38,Filter Separator,Waste,Volatile Organic Compounds (VOC),234795,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,39,Refueller,Waste,Fuel,5300669.5,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,39,Refueller,Waste,Wastewater,23.18,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,39,Refueller,Emission,Carbon Dioxide (CO2),15047,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,39,Refueller,Emission,Dinitrogen Monoxide (N2O),0.1,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,39,Refueller,Emission,Methane (CH4),0.6,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,39,Refueller,Emission,Nitrogen Oxide (NOx),449,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,39,Refueller,Emission,"Particulates, Unspecified",31.6,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,39,Refueller,Emission,Sulfur Oxide (SOx),2.95,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,40,Use Stage,Waste,Fuel,5300669.5,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,40,Use Stage,Emission,Carbon Dioxide (CO2),130325,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,40,Use Stage,Emission,Dinitrogen Monoxide (N2O),362.09,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,40,Use Stage,Emission,Methane (CH4),90.52,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,41,Genset,Product,Electricity,502,kWh
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,41,Genset,Emission,Carbon Dioxide (CO2),2121.51,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,41,Genset,Emission,Dinitrogen Monoxide (N2O),61.45,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,41,Genset,Emission,Methane (CH4),2.08,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,41,Genset,Emission,Nitrogen Oxide (NOx),61.45,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,41,Genset,Emission,Particulates,4.3,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,42,Oil Catcher,Waste,Wastewater,23180,liter
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,42,Oil Catcher,Waste,Oil,5.27,liter
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,42,Oil Catcher,Waste,TOC,7.09,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,43,Waste Pool,Waste,Wastewater,54.68,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,43,Waste Pool,Waste,Ammonia,0.0000485,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,43,Waste Pool,Waste,BOD,0.0001,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,43,Waste Pool,Waste,COD,0.0003,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,43,Waste Pool,Waste,Oil,0.0014,liter
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,43,Waste Pool,Waste,Waste,0.00043,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,43,Waste Pool,Waste,Waste,54.68,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,44,Office,Waste,Wastewater,54.68,kg
Oil & Gas Distribution,Pertamina FT Adi Sumarno - Inventory Data,44,Office,Waste,Waste,905.2,kg
Oil & Gas Distribution,Pertamina FT Maos,45,Penerimaan,Waste,Fuel,1340000000,kg
Oil & Gas Distribution,Pertamina FT Maos,45,Penerimaan,Waste,Filter,2660,kg
Oil & Gas Distribution,Pertamina FT Maos,45,Penerimaan,Waste,Plastic,3,kg
Oil & Gas Distribution,Pertamina FT Maos,46,Storage Tank,Waste,Fuel,1330000000,kg
Oil & Gas Distribution,Pertamina FT Maos,46,Storage Tank,Emission,Volatile Organic Compounds (VOC),1250,kg
Oil & Gas Distribution,Pertamina FT Maos,46,Storage Tank,Waste,Wastewater,753,kg
Oil & Gas Distribution,Pertamina FT Maos,46,Storage Tank,Waste,Sludge,38200,kg
Oil & Gas Distribution,Pertamina FT Maos,46,Storage Tank,Waste,Filter,1340,kg
Oil & Gas Distribution,Pertamina FT Maos,47,Pompa,Waste,Fuel,1330000000,kg
Oil & Gas Distribution,Pertamina FT Maos,47,Pompa,Emission,Volatile Organic Compounds (VOC),1620000,kg
Oil & Gas Distribution,Pertamina FT Maos,47,Pompa,Waste,Waste,100,kg
Oil & Gas Distribution,Pertamina FT Maos,47,Pompa,Waste,Fuel,300,kg
Oil & Gas Distribution,Pertamina FT Maos,47,Pompa,Waste,Filter,14,kg
Oil & Gas Distribution,Pertamina FT Maos,48,Filter Separator,Waste,Fuel,1330000000,kg
Oil & Gas Distribution,Pertamina FT Maos,49,Mobil Tangki,Waste,Fuel,1330000000,kg
Oil & Gas Distribution,Pertamina FT Maos,49,Mobil Tangki,Emission,Volatile Organic Compounds (VOC),1620000,kg
Oil & Gas Distribution,Pertamina FT Maos,50,Use Stage,Waste,Fuel,1330000000,kg
Oil & Gas Distribution,Pertamina FT Maos,51,Genset,Product,Electricity,3810,kWh
Oil & Gas Distribution,Pertamina FT Maos,51,Genset,Waste,Fuel,300,kg
Oil & Gas Distribution,Pertamina FT Maos,51,Genset,Waste,Waste,100,kg
Oil & Gas Distribution,Pertamina FT Maos,51,Genset,Emission,Carbon Dioxide (CO2),2070,kg
Oil & Gas Distribution,Pertamina FT Maos,51,Genset,Emission,Dinitrogen Monoxide (N2O),1680,kg
Oil & Gas Distribution,Pertamina FT Maos,51,Genset,Emission,Methane (CH4),0.1,kg
Oil & Gas Distribution,Pertamina FT Maos,51,Genset,Emission,Nitrogen Oxide (NOx),61.8,kg
Oil & Gas Distribution,Pertamina FT Maos,51,Genset,Emission,Particulates,4.3,kg
Oil & Gas Distribution,Pertamina FT Maos,51,Genset,Emission,Sulfur Oxide (SOx),4.1,kg
Oil & Gas Distribution,Pertamina FT Maos,52,Oil Catcher,Waste,Waste,726,kg
Oil & Gas Distribution,Pertamina FT Maos,52,Oil Catcher,Waste,Oil,5.42,liter
Oil & Gas Distribution,Pertamina FT Maos,52,Oil Catcher,Emission,TOC,21.2,kg
Oil & Gas Distribution,Pertamina FT Maos,53,Waste Pool,Waste,Packaging Kaporit,3,kg
Oil & Gas Distribution,Pertamina FT Maos,53,Waste Pool,Waste,IC,0.0431,kg
Oil & Gas Distribution,Pertamina FT Maos,53,Waste Pool,Waste,BOD,0.0175,kg
Oil & Gas Distribution,Pertamina FT Maos,53,Waste Pool,Waste,"Suspended Solids, Unspecified",0.0205,kg
Oil & Gas Distribution,Pertamina FT Maos,53,Waste Pool,Waste,Oil,0.00049,liter
Oil & Gas Distribution,Pertamina FT Maos,53,Waste Pool,Waste,Waste,195,kg
Oil & Gas Distribution,Pertamina FT Maos,53,Waste Pool,Waste,Ammonia,0.00217,kg
Oil & Gas Distribution,Pertamina FT Maos,54,Office,Waste,Waste,195,kg
Oil & Gas Distribution,Pertamina FT Maos,54,Office,Waste,Paper Waste,260,kg
Oil & Gas Distribution,Pertamina FT Maos,54,Office,Waste,Waste,3600,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto,55,Storage Tank,Waste,Fuel,1972058084,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto,55,Storage Tank,Waste,Sludge,14750,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto,55,Storage Tank,Waste,Oil,226.84,liter
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto,55,Storage Tank,Waste,Wastewater,83850,liter
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto,55,Storage Tank,Emission,Volatile Organic Compounds (VOC),2467440,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto,56,Pompa,Waste,Fuel,1972058084,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto,56,Pompa,Emission,Waste,1400.869814,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto,57,Mobil Tangki,Waste,Fuel,1400869.814,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto,57,Mobil Tangki,Emission,Carbon Dioxide (CO2),15047,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto,57,Mobil Tangki,Emission,Nitrogen Oxide (NOx),449,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto,57,Mobil Tangki,Emission,Particulates,31.6,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto,57,Mobil Tangki,Emission,Sulfur Oxide (SOx),2.95,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto,57,Mobil Tangki,Emission,Wastewater,31000,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto,58,Use Stage,Emission,Carbon Dioxide (CO2),5260662.144,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto,58,Use Stage,Emission,Methane (CH4),212.9822731,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto,58,Use Stage,Emission,Dinitrogen Monoxide (N2O),42.59645461,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto,58,Use Stage,Waste,Non-Hazardous waste,1.69,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto,58,Use Stage,Waste,Wastewater,900,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto,58,Use Stage,Waste,Wastewater,327700,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto,58,Use Stage,Waste,Wastewater,47000,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto,59,Genset,Product,Electricity,2353.2,kWh
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto,59,Genset,Waste,Oil,230,liter
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto,59,Genset,Waste,Waste,2.3,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto,59,Genset,Emission,Carbon Dioxide (CO2),657233.5996,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto,59,Genset,Emission,Nitrogen Oxide (NOx),313.8412923,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto,59,Genset,Emission,Particulates,22.06205165,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto,59,Genset,Emission,Sulfur Oxide (SOx),20.63847989,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto,60,Oil Catcher,Waste,Oil,0.99425,liter
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto,60,Oil Catcher,Waste,TOC,2.32926125,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto,60,Oil Catcher,Waste,Wastewater,122935.6445,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto - Inventory Data,61,Penerimaan,Waste,Fuel,6720000,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto - Inventory Data,62,Storage Tank,Waste,Fuel,7090000000,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto - Inventory Data,62,Storage Tank,Waste,Volatile Organic Compounds (VOC),53.7,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto - Inventory Data,62,Storage Tank,Waste,Wastewater,53.7,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto - Inventory Data,63,Pompa,Waste,Fuel,7090000000,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto - Inventory Data,64,Filter Separator,Waste,Fuel,7050000000,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto - Inventory Data,64,Filter Separator,Waste,Volatile Organic Compounds (VOC),71.6,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto - Inventory Data,65,Refueller,Waste,Fuel,7050000000,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto - Inventory Data,65,Refueller,Waste,Wastewater,31000,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto - Inventory Data,66,Use Stage,Emission,Carbon Dioxide (CO2),17600000,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto - Inventory Data,66,Use Stage,Emission,Methane (CH4),122,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto - Inventory Data,66,Use Stage,Emission,Dinitrogen Monoxide (N2O),488,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto - Inventory Data,67,Office,Waste,Non-Hazardous waste,1.69,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto - Inventory Data,67,Office,Waste,Wastewater,900,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto - Inventory Data,67,Office,Waste,Wastewater,328000,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto - Inventory Data,67,Office,Waste,Wastewater,47000,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto - Inventory Data,68,Genset,Product,Electricity,2350,kWh
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto - Inventory Data,68,Genset,Emission,Carbon Dioxide (CO2),494,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto - Inventory Data,68,Genset,Emission,Nitrogen Oxide (NOx),12.6,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto - Inventory Data,68,Genset,Waste,Particulates,0.888,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto - Inventory Data,68,Genset,Waste,Sulfur Oxide (SOx),0.83,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto - Inventory Data,69,Oil Catcher,Waste,Oil,0.197,liter
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto - Inventory Data,69,Oil Catcher,Waste,TOC,0.609,kg
Oil & Gas Distribution,Pertamina DPPU Adi Sucipto - Inventory Data,69,Oil Catcher,Waste,Wastewater,123000,kg
Oil & Gas Distribution,DPPU Hasanudin,70,Penerimaan,Waste,Fuel,135200880,kg
Oil & Gas Distribution,DPPU Hasanudin,70,Penerimaan,Waste,Waste,1.5,kg
Oil & Gas Distribution,DPPU Hasanudin,70,Penerimaan,Waste,Waste,155.64,kg
Oil & Gas Distribution,DPPU Hasanudin,70,Penerimaan,Waste,Wastewater,20.23,kg
Oil & Gas Distribution,DPPU Hasanudin,71,Storage Tank,Waste,Fuel,135200880,kg
Oil & Gas Distribution,DPPU Hasanudin,71,Storage Tank,Waste,Waste,3,kg
Oil & Gas Distribution,DPPU Hasanudin,71,Storage Tank,Waste,Wastewater,96.1,kg
Oil & Gas Distribution,DPPU Hasanudin,71,Storage Tank,Emission,Volatile Organic Compounds (VOC),1730,kg
Oil & Gas Distribution,DPPU Hasanudin,72,Pompa,Waste,Fuel,135969645,kg
Oil & Gas Distribution,DPPU Hasanudin,72,Pompa,Waste,Waste,1,kg
Oil & Gas Distribution,DPPU Hasanudin,72,Pompa,Waste,Wastewater,24.27,kg
Oil & Gas Distribution,DPPU Hasanudin,72,Pompa,Waste,Waste Lube Oil,43,kg
Oil & Gas Distribution,DPPU Hasanudin,72,Pompa,Emission,Volatile Organic Compounds (VOC),880,kg
Oil & Gas Distribution,DPPU Hasanudin,73,Filter Separator,Waste,Fuel,135969645,kg
Oil & Gas Distribution,DPPU Hasanudin,73,Filter Separator,Waste,Waste,2,kg
Oil & Gas Distribution,DPPU Hasanudin,73,Filter Separator,Waste,Wastewater,64.45,kg
Oil & Gas Distribution,DPPU Hasanudin,73,Filter Separator,Waste,Waste,233.46,kg
Oil & Gas Distribution,DPPU Hasanudin,74,Refueller,Waste,Fuel,123336300,kg
Oil & Gas Distribution,DPPU Hasanudin,74,Refueller,Waste,Waste,2,kg
Oil & Gas Distribution,DPPU Hasanudin,74,Refueller,Waste,Wastewater,23.45,kg
Oil & Gas Distribution,DPPU Hasanudin,74,Refueller,Waste,Waste,389,kg
Oil & Gas Distribution,DPPU Hasanudin,74,Refueller,Waste,Waste Lube Oil,926.22,kg
Oil & Gas Distribution,DPPU Hasanudin,74,Refueller,Emission,Sulfur Oxide (SOx),413.1,kg
Oil & Gas Distribution,DPPU Hasanudin,74,Refueller,Emission,Nitrogen Oxide (NOx),6282.2,kg
Oil & Gas Distribution,DPPU Hasanudin,74,Refueller,Emission,Carbon Dioxide (CO2),215940,kg
Oil & Gas Distribution,DPPU Hasanudin,74,Refueller,Emission,Methane (CH4),8.5,kg
Oil & Gas Distribution,DPPU Hasanudin,74,Refueller,Emission,Dinitrogen Monoxide (N2O),1.7,kg
Oil & Gas Distribution,DPPU Hasanudin,74,Refueller,Emission,Particulates,441.6,kg
Oil & Gas Distribution,DPPU Hasanudin,75,Bridger,Waste,Fuel,12632550,kg
Oil & Gas Distribution,DPPU Hasanudin,76,Genset,Waste,Waste,2,kg
Oil & Gas Distribution,DPPU Hasanudin,76,Genset,Waste,Waste Lube Oil,158.24,kg
